==== VAE Training Run ====
Started: Tue Oct 21 14:38:17 +08 2025
Job Name: vae_train
Job ID: 2808
Node: TC2N01
GPU(s) requested: 1
Script: /home/msai/birul001/gan-project/gan-HC-SCDNet/b-vae/train/train_beta_vae.py
Content Images Path: /home/msai/birul001/gan-project/gan-HC-SCDNet/b-vae/data/coco_split/train/
Content Images Path (Validation): /home/msai/birul001/gan-project/gan-HC-SCDNet/b-vae/data/coco_split/test/
Style Images Path: /home/msai/birul001/gan-project/gan-HC-SCDNet/b-vae/data/wikiart_split/train/
Style Images Path (Validation): /home/msai/birul001/gan-project/gan-HC-SCDNet/b-vae/data/wikiart_split/test/
Checkpoint Path: /home/msai/birul001/gan-project/gan-HC-SCDNet/b-vae/model/checkpoints/
Output File: /home/msai/birul001/gan-project/gan-HC-SCDNet/ccds-files/train_output/output_20251021_143817_2808.txt
===========================

Executing: python /home/msai/birul001/gan-project/gan-HC-SCDNet/b-vae/train/train_beta_vae.py --content_dir /home/msai/birul001/gan-project/gan-HC-SCDNet/b-vae/data/coco_split/train/ --style_dir /home/msai/birul001/gan-project/gan-HC-SCDNet/b-vae/data/wikiart_split/train/
Using device: cuda
Loaded validation datasets. Style: 12217, Content: 17744
✓ Loaded checkpoint from /home/msai/birul001/gan-project/gan-HC-SCDNet/b-vae/model/checkpoints/beta_vae_epoch19.pth
  Resuming from epoch 20
Epoch 20/30 | Step 0/6283 | Loss 0.2318 (rec 0.2178, kl 0.0035, beta=4.00)
Epoch 20/30 | Step 100/6283 | Loss 0.2352 (rec 0.2246, kl 0.0026, beta=4.00)
Epoch 20/30 | Step 200/6283 | Loss 0.2269 (rec 0.2102, kl 0.0042, beta=4.00)
Epoch 20/30 | Step 300/6283 | Loss 0.2087 (rec 0.1926, kl 0.0040, beta=4.00)
Epoch 20/30 | Step 400/6283 | Loss 0.2123 (rec 0.1982, kl 0.0035, beta=4.00)
Epoch 20/30 | Step 500/6283 | Loss 0.2165 (rec 0.1996, kl 0.0042, beta=4.00)
Epoch 20/30 | Step 600/6283 | Loss 0.2291 (rec 0.2189, kl 0.0025, beta=4.00)
Epoch 20/30 | Step 700/6283 | Loss 0.2306 (rec 0.2198, kl 0.0027, beta=4.00)
Epoch 20/30 | Step 800/6283 | Loss 0.2296 (rec 0.2184, kl 0.0028, beta=4.00)
Epoch 20/30 | Step 900/6283 | Loss 0.2515 (rec 0.2406, kl 0.0027, beta=4.00)
Epoch 20/30 | Step 1000/6283 | Loss 0.2062 (rec 0.1948, kl 0.0028, beta=4.00)
Epoch 20/30 | Step 1100/6283 | Loss 0.2295 (rec 0.2161, kl 0.0034, beta=4.00)
Epoch 20/30 | Step 1200/6283 | Loss 0.2152 (rec 0.2025, kl 0.0032, beta=4.00)
Epoch 20/30 | Step 1300/6283 | Loss 0.2203 (rec 0.2092, kl 0.0028, beta=4.00)
Epoch 20/30 | Step 1400/6283 | Loss 0.2266 (rec 0.2138, kl 0.0032, beta=4.00)
Epoch 20/30 | Step 1500/6283 | Loss 0.2334 (rec 0.2213, kl 0.0030, beta=4.00)
Epoch 20/30 | Step 1600/6283 | Loss 0.1900 (rec 0.1820, kl 0.0020, beta=4.00)
Epoch 20/30 | Step 1700/6283 | Loss 0.2371 (rec 0.2241, kl 0.0032, beta=4.00)
